GDPC1,CCSA,NEWORDER,UMCSENT,PAYEMS,CPIAUCSL,MSACSR
0.5,4230692,3.1,71.3,0.3,0.8,7.8
-0.2,3850077,1.1,73.1,0.3,1.1,7.5
0.7,3762769,3.8,71.9,0.5,1.1,6.6
0.0,3726385,3.1,59.7,0.3,0.7,6.5
1.2,3641786,3.3,64.8,0.4,0.4,5.7
0.8,3385846,2.8,75.5,0.6,0.6,5.0
0.4,3325077,-1.6,76.3,0.3,0.2,4.8
0.1,3309231,-5.4,75.0,0.3,0.5,4.6
0.1,3258538,3.5,79.4,0.4,0.7,4.7
0.9,3073462,0.7,76.7,0.5,0.4,4.1
0.1,3013769,2.0,81.7,0.4,-0.1,4.4
0.8,2948923,-3.4,81.6,0.4,0.5,5.5
0.8,2877231,1.2,76.9,0.5,0.4,5.0
-0.3,2830615,1.4,80.9,0.4,0.6,5.3
1.4,2659692,-0.8,82.8,0.6,0.5,5.5
1.2,2496077,1.7,83.0,0.5,0.3,5.7
0.6,2404385,-4.9,89.8,0.6,-0.2,5.4
0.9,2339692,-0.7,95.5,0.5,-0.6,4.8
0.7,2271000,-1.8,94.2,0.5,0.7,5.1
0.4,2247769,0.0,90.7,0.5,0.4,5.4
0.2,2206692,-2.1,91.3,0.5,0.0,5.4
0.6,2187692,-2.4,91.6,0.4,0.0,5.6
0.3,2162692,-1.9,92.4,0.4,0.7,5.2
0.5,2134769,0.7,90.3,0.5,0.5,4.9
0.6,2060786,-1.2,93.1,0.4,0.6,5.2
0.6,2016917,4.0,97.2,0.4,0.7,5.2
0.4,1961308,0.0,96.4,0.4,0.1,5.4
0.7,1955286,1.7,95.1,0.4,0.5,5.7
1.0,1913385,1.9,98.4,0.4,0.8,5.3
0.9,1863538,-0.8,98.9,0.4,0.8,5.5
0.7,1762308,3.2,98.3,0.4,0.5,5.8
0.5,1716923,2.5,98.1,0.4,0.5,6.3
0.3,1679308,-2.1,98.1,0.3,0.3,7.0
0.7,1723385,1.9,94.5,0.3,0.2,6.1
0.4,1685231,-1.0,98.5,0.3,0.7,6.1
0.6,1688462,0.1,93.8,0.4,0.5,5.6
0.6,1706154,0.4,97.2,0.4,0.6,5.5
-1.3,2266231,0.1,96.6,0.1,0.3,5.7
